Samples,Temperature,TempC
995,73.12,22.84
996,73.13,22.85
997,73.13,22.85
998,73.13,22.85
999,73.13,22.85
1000,73.13,22.85
1001,73.13,22.85
1002,73.13,22.85
1003,73.15,22.86
1004,73.15,22.86
1005,73.13,22.85
1006,73.13,22.85
1007,73.13,22.85
1008,73.13,22.85
1009,73.15,22.86
1010,73.15,22.86
1011,73.15,22.86
1012,73.15,22.86
1013,73.15,22.86
1014,73.15,22.86
1015,73.13,22.85
1016,73.12,22.84
1017,73.13,22.85
1018,73.13,22.85
1019,73.13,22.85
1020,73.13,22.85
1021,73.15,22.86
1022,73.15,22.86
1023,73.13,22.85
1024,73.15,22.86
1025,73.13,22.85
1026,73.15,22.86
1027,73.15,22.86
1028,73.13,22.85
1029,73.13,22.85
1030,73.13,22.85
1031,73.13,22.85
1032,73.13,22.85
1033,73.15,22.86
1034,73.15,22.86
1035,73.15,22.86
1036,73.15,22.86
1037,73.15,22.86
1038,73.16,22.87
1039,73.16,22.87
1040,73.16,22.87
1041,73.16,22.87
1042,73.16,22.87
1043,73.15,22.86
1044,73.15,22.86
1045,73.15,22.86
1046,73.15,22.86
1047,73.15,22.86
1048,73.15,22.86
1049,73.15,22.86
1050,73.15,22.86
1051,73.15,22.86
1052,73.15,22.86
1053,73.15,22.86
1054,73.15,22.86
1055,73.15,22.86
1056,73.15,22.86
1057,73.15,22.86
1058,73.15,22.86
1059,73.15,22.86
1060,73.15,22.86
1061,73.15,22.86
1062,73.13,22.85
1063,73.15,22.86
1064,73.16,22.87
1065,73.15,22.86
1066,73.15,22.86
1067,73.16,22.87
1068,73.15,22.86
1069,73.16,22.87
1070,73.18,22.88
1071,73.18,22.88
1072,73.16,22.87
1073,73.16,22.87
1074,73.15,22.86
1075,73.16,22.87
1076,73.15,22.86
1077,73.15,22.86
1078,73.13,22.85
1079,73.13,22.85
1080,73.15,22.86
1081,73.13,22.85
1082,73.13,22.85
1083,73.15,22.86
1084,73.13,22.85
1085,73.15,22.86
1086,73.15,22.86
1087,73.13,22.85
1088,73.12,22.84
1089,73.12,22.84
1090,73.12,22.84
1091,73.10,22.84
1092,73.10,22.84
1093,73.10,22.84
1094,73.10,22.84
1095,73.10,22.84
1096,73.12,22.84
1097,73.12,22.84
1098,73.12,22.84
1099,73.13,22.85
1100,73.13,22.85
1101,73.13,22.85
1102,73.15,22.86
1103,73.15,22.86
1104,73.15,22.86
1105,73.15,22.86
1106,73.15,22.86
1107,73.15,22.86
1108,73.15,22.86
1109,73.15,22.86
1110,73.15,22.86
1111,73.15,22.86
1112,73.16,22.87
1113,73.16,22.87
1114,73.16,22.87
1115,73.16,22.87
1116,73.16,22.87
1117,73.16,22.87
1118,73.18,22.88
1119,73.18,22.88
1120,73.18,22.88
1121,73.18,22.88
1122,73.18,22.88
1123,73.18,22.88
1124,73.16,22.87
1125,73.16,22.87
1126,73.15,22.86
1127,73.15,22.86
1128,73.15,22.86
1129,73.15,22.86
1130,73.15,22.86
1131,73.13,22.85
1132,73.13,22.85
1133,73.13,22.85
1134,73.15,22.86
1135,73.15,22.86
1136,73.16,22.87
1137,73.16,22.87
1138,73.16,22.87
1139,73.16,22.87
1140,73.15,22.86
1141,73.15,22.86
1142,73.15,22.86
1143,73.15,22.86
1144,73.15,22.86
1145,73.16,22.87
1146,73.15,22.86
1147,73.15,22.86
1148,73.15,22.86
1149,73.15,22.86
1150,73.15,22.86
1151,73.15,22.86
1152,73.16,22.87
1153,73.18,22.88
1154,73.18,22.88
1155,73.18,22.88
1156,73.16,22.87
1157,73.18,22.88
1158,73.18,22.88
1159,73.19,22.88
1160,73.19,22.88
1161,73.18,22.88
1162,73.18,22.88
1163,73.19,22.88
1164,73.19,22.88
1165,73.20,22.89
1166,73.20,22.89
1167,73.20,22.89
1168,73.20,22.89
1169,73.20,22.89
1170,73.20,22.89
1171,73.20,22.89
1172,73.20,22.89
1173,73.20,22.89
1174,73.19,22.88
1175,73.20,22.89
1176,73.20,22.89
1177,73.19,22.88
1178,73.19,22.88
1179,73.18,22.88
1180,73.19,22.88
1181,73.19,22.88
1182,73.19,22.88
1183,73.19,22.88
1184,73.19,22.88
1185,73.20,22.89
1186,73.20,22.89
1187,73.20,22.89
1188,73.22,22.90
1189,73.22,22.90
1190,73.22,22.90
1191,73.20,22.89
1192,73.20,22.89
1193,73.20,22.89
1194,73.19,22.88
1195,73.19,22.88
1196,73.16,22.87
1197,73.16,22.87
1198,73.13,22.85
1199,73.10,22.84
1200,73.08,22.82
